# BEAST v1.8.4
# Generated Mon Sep 13 16:59:13 JST 2021 [seed=1631519942828]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
330000	-6780.45773408841	-2331.71214003247	-4448.745594055939	41.41683261201748	0.1052560030042486	0.3172199693162127	0.8515764653700449	1.529838869441581	1.3524712534150811	1.0112893535075798	1.1704489990405162	1.3991179489890309	2.294730697875314	4.202233732733531	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	16.36857490732369	22.616863439044817	0.2753024487311177	0.24980021456466173	0.2426503627935434	0.23224697391067664	0.13279318831897519	0.004437775706869769	0.004437775706869769	-4448.745594055939	0.0	-11.583369738706331
340000	-6791.560171028565	-2347.434019031185	-4444.12615199738	47.23528452000042	0.40739262915839697	0.44303296477220866	1.041367523839825	4.848541570583047	7.901575525109746	0.26485479022956804	0.9176613370110743	0.9643789378502144	3.8879923379664	12.999095453554803	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	10.528184432901892	18.732345537442246	0.2555251250082445	0.26540894831738693	0.22780714454437206	0.2512587821299961	0.16770098892869004	0.002631621362425244	0.002631621362425244	-4444.12615199738	0.0	-17.571270356383614
350000	-6786.156470243643	-2342.763099529231	-4443.3933707144115	47.375401042933376	1.966666833321308	3.5022087892278133	1.8345989778856455	2.3036051150222567	3.4817949183162855	1.6931545717618945	0.3654528393599913	0.59987666894908	1.4612733743972874	4.543642873968847	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	10.204187512089081	18.881853479239016	0.2730779773563513	0.24976161913583803	0.22905563243356808	0.24810477107424211	0.22406983569546107	0.00342001610912749	0.0034200161091274906	-4443.3933707144115	0.0	-17.621132799197685
360000	-6793.232469098086	-2345.8313479724216	-4447.401121125665	43.84890700215781	0.385082190783923	0.36738976627821723	1.042197210050932	2.139489449923614	3.8878308725282142	3.6745638847104103	4.070313008992373	4.908715554974248	5.947748451169364	11.209718051096216	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	9.920366880690034	21.904221155427923	0.2651216558873539	0.2585435103570033	0.23359598850914945	0.24273884524649278	0.19484986257456963	0.004192728816520616	0.004192728816520615	-4447.401121125665	0.0	-18.591587900014744
370000	-6776.152085213942	-2335.4630288751077	-4440.689056338834	45.50392912925258	0.04549166919124841	0.24982165284028018	0.28192497025015956	1.2251759210755184	2.2812295366148514	2.811525549338478	1.564231147590037	2.1264217471877576	1.8316593387414688	4.669248172008891	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0968803246696	18.05955419350785	0.2647455276157795	0.26482217756959237	0.22591223733443117	0.24452005748019637	0.18878130320558473	0.0038210348729016664	0.003821034872901666	-4440.689056338834	0.0	-13.82301753874438
380000	-6786.05853068449	-2344.6467304579305	-4441.4118002265595	43.859513707233056	0.8847487731946182	1.4083391235674718	0.9504315717750857	2.005967407347161	1.9709045006364434	5.016306074587919	6.195554228592725	0.7807783845390084	1.8505144761291537	5.515970273418026	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	11.380009234575766	18.390695654907162	0.2532714902872085	0.2559121742510613	0.2352520409030387	0.255564294558691	0.21331432821637025	0.003850665742401035	0.003850665742401034	-4441.4118002265595	0.0	-17.061674148574944
390000	-6791.413006054923	-2341.912885626847	-4449.500120428076	44.2570125574867	0.8182650495346975	0.8553454065597851	1.5647066342680922	1.1552031250879535	1.7595436000892857	1.7978907026602053	2.748396623295435	1.2522860648064733	0.7724189687637141	1.9565434905249797	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	9.18898959477341	21.262477805389445	0.2690202302505761	0.2381003790345783	0.2509684592243152	0.24191093149052986	0.2586523999435063	0.003387824610676219	0.0033878246106762194	-4449.500120428076	0.0	-20.789296875684133
400000	-6776.961791671663	-2332.2376537192154	-4444.7241379524485	41.787179048132586	0.19760407911318129	0.3288795739745709	0.12837199033686814	0.18215358991848554	1.0455204253154051	2.0886160981533153	1.0887317718137106	0.6910005599809278	1.9209010267836157	1.6568980948161345	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	14.659246786557345	20.9773131553445	0.278350368837228	0.25861523782965856	0.22537252957413784	0.2376618637589752	0.22696369154927545	0.00409028659618546	0.00409028659618546	-4444.7241379524485	0.0	-14.550933956795575
410000	-6772.1296898989885	-2330.7424729501754	-4441.387216948813	43.30287952054584	0.7219686423790828	0.33268395530522743	0.3607365542510671	1.1413734275149587	1.2033965936379272	0.9524171082596513	0.9567398619930891	0.7047612969428013	0.8537026775349649	2.667869842805222	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	9.172827697007156	19.511489156244643	0.2570946045116246	0.2758248201806527	0.2324587169674115	0.2346218583403109	0.20180174917471028	0.0044909681213384945	0.0044909681213384945	-4441.387216948813	0.0	-13.588483557750765
420000	-6768.302782463463	-2325.4409269215244	-4442.861855541938	40.157074648254614	0.1814232951782367	0.28853375971199136	0.6648088380132325	1.1127733841360623	1.3916434982010797	1.8001535951749272	0.3762050374387549	0.7669761672544098	0.5529625129085229	0.46336065795872877	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	9.743148579167787	18.013361463231274	0.2695912074805599	0.2480216798916421	0.2379395806873703	0.24444753194042737	0.1414448859358487	0.00443447704215862	0.00443447704215862	-4442.861855541938	0.0	-11.985926007455317
