# BEAST v1.8.4
# Generated Mon Sep 13 16:57:42 JST 2021 [seed=1631519848854]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
300000	-11369.128428779699	-2486.4403366841507	-8882.688092095548	119.88436928052971	5.168405207210331	27.555098993814546	108.68314857041756	69.09731293170128	117.2667402128109	122.31053159814384	119.01625682208866	37.16883514475952	15.03533972912591	28.55469914487763	6.0	1.0	1.0	7.0	1.0	2.0	5.0	3.0	1.0	1.0	16.426530200954463	25.06764709508473	0.2806270103356911	0.26123121749373296	0.22468287123836836	0.23345890093220809	0.1708580330950508	0.0016058405440095111	0.0016058405440095107	-8882.688092095548	0.0	-125.78294417679203
310000	-11351.532777746217	-2473.346442475094	-8878.186335271123	109.14644251682576	2.4292722976375596	6.167249546846037	11.029613155527207	27.213883019461424	74.0341423840896	85.81039168521514	51.8250974195612	67.55546855566607	24.537930610919194	19.51234920814016	1.0	1.0	5.0	1.0	4.0	5.0	1.0	5.0	2.0	3.0	12.69888803431577	24.91885642559934	0.2696181938997353	0.26426794006041104	0.23688050169610592	0.22923336434374825	0.18344807440567124	0.0017673402629047835	0.0017673402629047826	-8878.186335271123	0.0	-122.39935994233531
320000	-11362.390610024788	-2471.14149503109	-8891.249114993698	106.97523035970046	0.2743220537888855	1.217433207623118	5.3682398024317495	19.49374412024861	16.399243756901352	22.5761172287592	74.52804126366507	63.077632254680296	58.051386242142996	20.24812739646702	1.0	1.0	3.0	1.0	1.0	6.0	6.0	3.0	4.0	2.0	16.093677875349325	28.43476843639069	0.2557332286662012	0.27175343130450075	0.25845240735544994	0.21406093267384868	0.1783197057028183	0.0018482263286055173	0.0018482263286055173	-8891.249114993698	0.0	-121.70893595316036
330000	-11357.914143860613	-2474.2299245389304	-8883.684219321683	115.341552143862	7.472664448563274	14.668066581095369	38.01734873998063	47.423847856721885	26.989306676006482	20.67890486793644	107.7535542737988	8.70596094696666	8.057505568033775	34.612397718324445	2.0	5.0	3.0	8.0	2.0	2.0	1.0	2.0	1.0	2.0	15.284824932123437	25.996951310784354	0.2896667590979526	0.26130221344133003	0.22829549226756793	0.22073553519315006	0.17749030438068608	0.0019542438527052662	0.0019542438527052654	-8883.684219321683	0.0	-118.71916703770599
340000	-11350.54621505447	-2468.7992405804794	-8881.74697447399	116.43217148233508	3.1891360705639578	11.567818720779863	20.00353913163437	45.033458101552434	16.41445150945779	21.75051509499668	89.82084527706678	11.372493888334866	15.924128134454909	36.90119879292316	2.0	4.0	1.0	11.0	1.0	3.0	1.0	1.0	3.0	1.0	12.73768474197932	23.63571713261067	0.26469248552209457	0.26712650988665365	0.24262957884454037	0.2255514257467121	0.1638973552661583	0.0017767634719898365	0.0017767634719898368	-8881.74697447399	0.0	-116.73476557803376
350000	-11363.895144397758	-2474.537775530835	-8889.357368866924	100.26045794701001	7.86379608484974	11.85565252938454	39.75401146980621	88.36772689790953	91.29586764746233	70.90285913322093	64.12418741259427	9.679618498174719	17.959023293678904	24.582754987590523	4.0	2.0	2.0	10.0	2.0	1.0	3.0	2.0	1.0	1.0	11.835014733639197	25.197965257089546	0.28530958487944075	0.2463865614334547	0.23340271968521037	0.23490113400189516	0.20213329929977578	0.001922159402258041	0.0019221594022580412	-8889.357368866924	0.0	-120.71354604666448
360000	-11358.79350276537	-2478.2536467720356	-8880.539855993335	110.1786902730617	2.311290915120856	11.76925274366354	19.97511896129232	56.200121710913315	20.513109457521193	9.918503452752224	67.11812429440225	257.18019592302704	15.250151885959806	41.037117598346605	4.0	1.0	2.0	5.0	6.0	3.0	1.0	1.0	4.0	1.0	15.90835396731161	29.187088936492607	0.27517921242350146	0.2532770855046632	0.24618104005171393	0.22536266202012245	0.1694831765161138	0.0018945430613243309	0.0018945430613243315	-8880.539855993335	0.0	-116.80362537577706
370000	-11352.546385829733	-2474.4677736595318	-8878.078612170202	119.8897871159142	7.885185919221452	3.9893211351462705	10.99665756919487	25.364759275156675	42.77986130973454	82.01175038197042	41.45971969154876	122.83757830169687	19.489446252783598	35.856029161505475	3.0	1.0	1.0	1.0	9.0	3.0	4.0	1.0	4.0	1.0	14.160272684443822	29.025184534900408	0.29165562329352634	0.25585826830514014	0.23107094419556998	0.22141516420576454	0.14739976545049202	0.001636502848533297	0.001636502848533297	-8878.078612170202	0.0	-120.77751208541736
380000	-11366.232928530193	-2486.215895584924	-8880.017032945269	145.03857417454347	15.648504884814992	22.89006759453732	56.345770566101955	30.029323287274874	30.654905560876177	39.89733855405136	65.72397359352976	48.22871695229108	32.97868826357767	70.30854510181186	6.0	1.0	12.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	13.936011032822263	25.37704432336629	0.2890561007466047	0.25757887918669575	0.228224123766938	0.22514089629976253	0.16979408299917156	0.0014450578135775435	0.0014450578135775433	-8880.017032945269	0.0	-131.70281648839176
390000	-11359.84921818655	-2481.906238275382	-8877.942979911168	123.86692211484846	12.60318114880242	20.434952143193446	36.28960745534113	21.643906659802777	63.053260837093454	37.39572880216346	38.245557196041275	176.85060523020283	25.483139402776523	58.7874534939999	1.0	6.0	2.0	2.0	7.0	1.0	3.0	1.0	4.0	1.0	14.235412001068571	28.78307525023694	0.27031402072840555	0.25716206488142207	0.24116785778070476	0.23135605660946854	0.17537205588577576	0.0018052008562123823	0.0018052008562123828	-8877.942979911168	0.0	-123.32006787245935
